trade_date,symbol,1. open,2. high,3. low,4. close,5. volume
2020-03-06,SHOP.TRT,642.2700,660.0000,616.5400,633.2900,4631000
2020-03-05,SHOP.TRT,661.8600,686.9900,659.8800,669.0100,3801000
2020-03-04,SHOP.TRT,653.3000,688.3500,648.5500,686.7700,3898000
2020-03-03,SHOP.TRT,673.8200,673.8200,626.0200,637.6500,6484000
2020-03-02,SHOP.TRT,647.3400,651.7500,617.5000,651.7500,5933000
2020-02-28,SHOP.TRT,570.4500,623.2200,567.4200,623.2200,9993000
2020-02-27,SHOP.TRT,604.7600,625.1300,571.6900,617.6400,3417000
2020-02-26,SHOP.TRT,609.6000,642.6800,609.6000,627.1800,3055000
2020-02-25,SHOP.TRT,660.4000,667.0000,605.9900,620.3700,4043000
2020-02-24,SHOP.TRT,629.1100,668.0000,629.1100,652.9900,3929000
2020-02-21,SHOP.TRT,705.7500,708.8300,675.7500,686.5700,2898000
2020-02-20,SHOP.TRT,716.9900,724.0000,676.2200,711.0400,4355000
2020-02-19,SHOP.TRT,719.7400,728.1300,712.9000,718.6600,2857000
2020-02-18,SHOP.TRT,707.9000,727.3800,707.8000,709.8400,5691000
2020-02-14,SHOP.TRT,713.2100,718.5000,693.5600,704.1800,2118000
2020-02-13,SHOP.TRT,705.3900,734.2600,703.6200,706.3800,2928000
2020-02-12,SHOP.TRT,752.2500,786.0700,702.2100,705.9000,4185000
2020-02-11,SHOP.TRT,657.4000,664.0000,651.0000,655.4600,3907000
2020-02-10,SHOP.TRT,636.1900,654.7900,636.1900,654.5300,2086000
2020-02-07,SHOP.TRT,626.4000,641.0000,622.0000,636.8900,2752000
2020-02-06,SHOP.TRT,630.0000,632.6000,615.1000,628.9700,3526000
2020-02-05,SHOP.TRT,657.6200,657.6400,622.2200,632.2200,3077000
2020-02-04,SHOP.TRT,633.1000,647.0000,627.0000,644.7300,3338000
2020-02-03,SHOP.TRT,620.4100,629.0100,608.1400,623.7700,3047000
2020-01-31,SHOP.TRT,635.2000,639.0900,613.0800,616.3300,2865000
2020-01-30,SHOP.TRT,622.2800,631.6400,615.0000,628.8900,2346000
2020-01-29,SHOP.TRT,624.3000,633.3500,620.8600,622.8200,2475000
2020-01-28,SHOP.TRT,599.6500,616.9900,595.8500,615.4200,2318000
2020-01-27,SHOP.TRT,591.1400,605.6000,575.1500,594.8700,2660000
2020-01-24,SHOP.TRT,620.3800,625.5000,602.1100,611.8400,2424000
2020-01-23,SHOP.TRT,610.0100,622.2100,605.4200,615.8800,3406000
2020-01-22,SHOP.TRT,616.0000,626.2000,608.7000,610.3100,3095000
2020-01-21,SHOP.TRT,595.3900,617.8500,593.0100,608.7600,2704000
2020-01-20,SHOP.TRT,592.0000,598.0000,591.0200,596.9700,565000
2020-01-17,SHOP.TRT,590.7700,599.5200,589.7400,594.5700,2192000
2020-01-16,SHOP.TRT,592.5300,592.5300,583.0000,588.3000,3069000
2020-01-15,SHOP.TRT,577.9100,590.8300,577.8200,585.6400,3539000
2020-01-14,SHOP.TRT,576.7300,582.0000,563.1100,576.3100,3258000
2020-01-13,SHOP.TRT,566.2200,582.7500,566.0100,575.1400,2748000
2020-01-10,SHOP.TRT,565.0000,572.0000,558.2600,560.9000,2251000
2020-01-09,SHOP.TRT,552.1100,564.5900,552.1100,561.5700,3444000
2020-01-08,SHOP.TRT,540.1900,550.6500,536.2800,545.0200,6568000
2020-01-07,SHOP.TRT,537.4200,549.8500,533.5100,539.0300,2965000
2020-01-06,SHOP.TRT,517.6100,536.2200,514.7400,535.0400,3473000
2020-01-03,SHOP.TRT,521.0600,530.1000,516.0100,525.0700,2057000
2020-01-02,SHOP.TRT,524.8200,530.3300,517.9800,530.0700,1966000
2019-12-31,SHOP.TRT,514.3900,524.9700,509.9000,516.3000,1532000
2019-12-30,SHOP.TRT,535.3600,535.3600,512.5700,517.7900,1620000
2019-12-27,SHOP.TRT,539.9700,544.0000,528.0000,534.7600,1564000
2019-12-24,SHOP.TRT,512.4600,527.1700,508.2100,525.3900,1252000
2019-12-23,SHOP.TRT,516.8300,524.9900,510.3700,511.6200,2439000
2019-12-20,SHOP.TRT,516.2000,524.9900,510.2900,513.2200,7155000
2019-12-19,SHOP.TRT,520.9900,526.6600,513.8500,516.0600,1789000
2019-12-18,SHOP.TRT,513.0000,530.1700,512.9700,520.5600,3912000
2019-12-17,SHOP.TRT,517.2000,521.9700,500.7700,510.8500,2524000
2019-12-16,SHOP.TRT,513.9800,521.2600,502.8500,517.4200,2220000
2019-12-13,SHOP.TRT,488.9400,516.6000,488.9000,508.4300,3128000
2019-12-12,SHOP.TRT,491.6500,495.0200,481.2200,489.6100,2275000
2019-12-11,SHOP.TRT,487.5000,493.5000,483.9700,491.7100,1678000
2019-12-10,SHOP.TRT,494.0000,494.0000,482.6500,487.0400,1850000
2019-12-09,SHOP.TRT,484.2000,503.8500,483.0000,489.9400,2599000
2019-12-06,SHOP.TRT,487.0000,493.6800,478.3500,483.3500,1695000
2019-12-05,SHOP.TRT,490.5100,496.1100,475.0000,479.2500,2121000
2019-12-04,SHOP.TRT,464.3900,497.2700,463.6500,490.7700,3300000
2019-12-03,SHOP.TRT,427.2700,467.0000,427.2300,466.4200,2486000
2019-12-02,SHOP.TRT,447.1800,447.3900,414.3800,440.2100,2658000
2019-11-29,SHOP.TRT,452.8800,457.5000,445.4500,445.4500,1282000
2019-11-28,SHOP.TRT,453.2100,455.4900,452.1700,454.0000,392000
2019-11-27,SHOP.TRT,449.7000,455.1300,438.0000,453.1900,2263000
2019-11-26,SHOP.TRT,422.6700,447.4200,422.2200,443.5700,3647000
2019-11-25,SHOP.TRT,419.3100,424.2000,415.7700,421.8500,1317000
2019-11-22,SHOP.TRT,421.1400,424.4500,411.5000,418.2600,1306000
2019-11-21,SHOP.TRT,424.0600,427.1000,417.9900,419.8600,1317000
2019-11-20,SHOP.TRT,417.5600,431.7100,415.0800,421.7600,1672000
2019-11-19,SHOP.TRT,430.5000,430.5200,417.0000,419.6500,1603000
2019-11-18,SHOP.TRT,413.1800,430.3700,410.5000,426.6600,2346000
2019-11-15,SHOP.TRT,417.0000,418.1000,410.0000,413.1900,1072000
2019-11-14,SHOP.TRT,416.5200,424.0000,410.4800,413.8100,1328000
2019-11-13,SHOP.TRT,402.7700,417.2500,401.5700,416.2800,2546000
2019-11-12,SHOP.TRT,402.6200,410.7000,401.0000,404.9000,1440000
2019-11-11,SHOP.TRT,393.6900,403.3600,388.5900,401.4100,1602000
2019-11-08,SHOP.TRT,372.0100,395.1000,372.0100,393.7500,1945000
2019-11-07,SHOP.TRT,389.9900,392.0000,372.5700,376.5400,2103000
2019-11-06,SHOP.TRT,389.1900,396.2000,384.9300,388.9900,1969000
2019-11-05,SHOP.TRT,405.9100,405.9100,387.6500,389.1500,2349000
2019-11-04,SHOP.TRT,421.0300,422.3600,399.7500,405.2300,2382000
2019-11-01,SHOP.TRT,417.0000,424.2500,411.6400,416.1900,1142000
2019-10-31,SHOP.TRT,417.9700,420.5000,406.8900,413.0000,1515000
2019-10-30,SHOP.TRT,409.3800,421.0200,405.0000,419.9100,1360000
2019-10-29,SHOP.TRT,400.0000,420.4500,390.1000,409.3600,2338000
2019-10-28,SHOP.TRT,423.8000,429.5500,409.0000,422.7500,1579000
2019-10-25,SHOP.TRT,415.5000,419.3200,405.0000,414.5800,1414000
2019-10-24,SHOP.TRT,394.2100,423.9400,392.9100,422.3400,2941000
2019-10-23,SHOP.TRT,391.8000,405.0000,380.8000,388.2100,1602000
2019-10-22,SHOP.TRT,422.1100,427.4400,386.7700,392.0200,2495000
2019-10-21,SHOP.TRT,415.0500,427.5000,409.0000,418.0400,2296000
2019-10-18,SHOP.TRT,438.5000,440.0000,410.2600,412.1600,2291000
2019-10-17,SHOP.TRT,429.7200,438.7000,426.9400,435.6000,1424000
2019-10-16,SHOP.TRT,453.6000,453.6100,425.2800,426.9400,1707000
2019-10-15,SHOP.TRT,459.0000,462.9700,454.1000,456.9100,2789000
2019-10-11,SHOP.TRT,439.9000,445.5000,429.2400,434.9800,2786000
2019-10-10,SHOP.TRT,417.0100,437.1200,415.0000,431.2400,1810000
2019-10-09,SHOP.TRT,417.3000,421.5500,415.2500,418.6500,1230000
2019-10-08,SHOP.TRT,430.0000,433.1500,414.0300,414.3900,1900000
2019-10-07,SHOP.TRT,434.0800,441.0000,428.9700,433.9900,1376000
2019-10-04,SHOP.TRT,435.3900,439.1000,426.3500,435.5300,1855000
2019-10-03,SHOP.TRT,413.2100,435.3400,406.4200,434.1600,2272000
2019-10-02,SHOP.TRT,411.0000,414.0700,399.9700,412.8700,1548000
2019-10-01,SHOP.TRT,414.2700,422.6700,410.0000,414.1600,2346000
2019-09-30,SHOP.TRT,404.8700,418.9000,400.7500,412.3000,2557000
2019-09-27,SHOP.TRT,415.7500,419.8800,400.0100,404.9000,1879000
2019-09-26,SHOP.TRT,418.3600,418.5400,401.3300,415.7200,2128000
2019-09-25,SHOP.TRT,385.2000,418.8300,380.2100,417.5400,3525000
2019-09-24,SHOP.TRT,414.7600,418.6500,381.7600,390.7200,4592000
2019-09-23,SHOP.TRT,420.2400,431.5900,412.3800,415.5000,1959000
2019-09-20,SHOP.TRT,431.5200,439.5100,413.8700,423.1300,4838000
2019-09-19,SHOP.TRT,435.0000,440.1900,426.8000,430.6500,1518000
2019-09-18,SHOP.TRT,439.0000,439.0000,423.1000,432.8000,2381000
2019-09-17,SHOP.TRT,432.9700,444.5200,428.1900,435.6700,2948000
2019-09-16,SHOP.TRT,435.0000,455.0000,433.8700,447.4800,2347000
2019-09-13,SHOP.TRT,474.8000,474.8000,448.4200,449.2300,3168000
2019-09-12,SHOP.TRT,467.0600,475.2000,463.5000,471.1000,3015000
